81939;Tricorona AB
81940;WM-data AB
81941;Zeteco AB
81942;Kanthal AB
81943;VEN CAP Industrier AB
81944;Atle AB
81945;Munksjo AB
81946;XPonCard Group AB
81947;HL Display AB
81948;Foreningsbanken AB/Old
81950;PanAlarm AB
81952;James Concepts AB
81954;Sveaskog Forvaltnings AB
81955;Matteus AB
81956;Ark Travel AB
81957;GiftToday Sweden AB
81958;Ballingslov International AB
81964;Technology Nexus AB
81966;Independent Media Group AB
81973;RayClinic AB
81974;Amago Capital AB
81975;GlobalFun AB
81976;Mind AB
81977;Invik & Co AB
81978;Water Jet Sweden AB
81979;Twinblade Technologies Holding Sweden AB
81981;Turnit AB
81998;Trio AB
92737;Nelly Group AB
92773;Kancera AB
92986;ZetaDisplay AB
92989;iZafe Group AB
93015;Egetis Therapeutics AB
93065;Karolinska Development AB
93067;FX International AB
93098;DistIT AB
93189;Dedicare AB
93618;Stendorren Fastigheter AB
93659;Bulten AB
93698;IDL Diagnostics AB
93722;Transmode AB
93732;Sivers Semiconductors AB
93823;Yield Life Science AB
93865;Enzymatica AB
123983;Boule Diagnostics AB
124228;Verve Group SE
125136;NanoCap Group AB
125143;Briox AB
128338;Skanska Energi AB
128418;Mackmyra Svensk Whisky AB
128494;NordIQ Goteborg AB
128495;ECO Byggolit AB
128517;Crown Energy AB
128697;Brighter AB
128768;AVTECH Sweden AB
128788;Creades AB
129134;Fastator AB
129210;Medfield Diagnostics AB
129242;RLS Global AB
129791;Alm Equity AB
129839;Gullberg & Jansson AB
129841;Latvian Forest Co AB
129990;VNV Global Ltd
130045;Respiratorius AB
130104;Mangold AB
130163;Fable Media Group AB
130224;FDT System Holding AB
130503;Xvivo Perfusion AB
130652;Nodebis Applications AB
130660;Sportamore AB
131039;Recyctec Holding AB
131112;Spago Nanomedical AB
131280;Vigmed Holding AB
131515;ArcAroma AB
131516;Guard Therapeutics International AB
131605;Gripen Oil & Gas AB
131615;Mendus AB
131622;Nexam Chemical Holding AB
131742;Vivoline Medical AB
131761;DIAMYD MEDICAL AB
131773;Tribona AB
131816;Hedera Group AB
131888;Oscar Properties Holding AB
131897;Kentima Holding AB
131920;Emotra AB
131926;GuldAdam Holding AB
131973;Mr. Green & Co AB
163072;Serstech AB
163347;SyntheticMR AB
163371;TiksPac AB
163372;Irisity AB
163384;Prostalund AB
163543;Cell Impact AB
163622;Platzer Fastigheter Holding AB
163636;Ferronordic AB
163730;Ecoclime Group AB
163739;EQL Pharma AB
163741;Delarka Holding AB
163761;Tourn International AB
163784;Clemondo Group AB
163892;BIMobject AB
163925;Qlosr Group AB
163943;Phase Holographic Imaging PHI AB
164138;Bufab AB
164205;Alteco Medical AB
164266;Hemfosa Fastigheter AB
164282;KebNi AB
164289;PromikBook AB
164307;Kalleback Property Invest AB
164312;Ortoma AB
164328;Recipharm AB
164353;Doxa AB
164370;Hembla AB
164388;ScandiDos AB
164439;Envirologic AB
164442;Motion Display Scandinavia AB
164469;Matse Holding AB
164502;BrainCool AB
164518;Wiema AB
164534;Moretime Professional Services AB
164553;Ambia Trading Group AB
164562;AGES Industri AB
164580;Clavister AB
164611;myFC Holding AB
164645;QBNK Holding AB
164698;Besqab AB
164700;Greater Than AB
164726;Com Hem Holding AB
164740;Heliospectra AB
164742;Blick Global Group AB
164745;Scandinavian Enviro Systems AB
164759;Bactiguard Holding AB
164760;Hanza AB
164761;DexTech Medical AB
164762;OptiCept Technologies AB
164865;Scandi Standard AB
164880;Nicoccino Holding AB
164889;Axkid AB
164901;Peptonic Medical AB
165086;Delta Minerals AB
165121;LIDDS AB
165139;EmbeddedArt Group AB
165231;Evendo AB
165252;Igrene AB
165318;Stockholm IT Ventures AB
165360;Advenica AB
165415;Inwido AB
165425;Cinnober Financial Technology AB
165458;Acenta Group AB
165508;Granges AB
190015;Safeture AB
190036;Absolent Air Care Group AB
190052;Berner Industrier AB
190131;Gabather AB
190180;Sprint Bioscience AB
190206;Humble Group AB
190207;Samhallsbyggnadsbolaget i Norden AB
190234;Arcoma AB
190236;Oboya Horticulture Industries AB
190249;Zenicor Medical Systems AB
190295;Harm Reduction Group AB
190306;Follicum AB
190307;Scandinavian Organics AB
190318;Thule Group AB
190319;Scandinavian Real Heart AB
190333;Transcom Worldwide AB
190343;VA Automotive i Hassleholm AB
190344;Premium Snacks Nordic AB
190385;NP3 Fastigheter AB
190421;Precisionsmetall Group AB
190493;Tobin Properties AB
190556;Freja Eid Group AB
190572;PowerCell Sweden AB
190691;Byggmastare Anders J Ahlstrom Holding AB
190747;Newton Nordic AB
190765;Saltangen Property Invest AB
190841;Torslanda Property Investment AB
190900;Eltel AB
190913;Karessa Pharma Holding AB
190918;Lexington Co Ab/The
190943;Dustin Group AB
190955;OrganoClick AB
191023;Acrinova AB
191038;Sdiptech AB
191102;Cantargia AB
191146;Evolution AB
191182;Hoist Finance AB
191211;Troax Group AB
191225;Cline Scientific AB
191256;K2A Knaust & Andersson Fastigheter AB
191287;IVISYS AB
191316;Aptahem AB
191351;SaltX Technology Holding AB
191387;Tobii AB
191394;Spiffbet AB
191437;Vibrosense Dynamics AB
191566;Transtema Group AB
191582;Larkberget AB
191634;Scibase Holding AB
191643;Corline Biomedical AB
191650;Gaming Corps AB
191664;Perpetua Medical AB
191671;Magnolia Bostad AB
191673;SpectrumOne AB
191688;Collector AB
191689;Inission AB
191733;Studentbostader i Norden AB
191734;Idogen AB
191738;A Group of Retail Assets Sweden AB
191747;Hovding Sverige AB
191749;Coor Service Management Holding AB
191759;Redsense Medical AB
191761;Nanexa AB
191762;Alimak Group AB
191763;Nordax Group AB
191774;Nobina AB
191800;Eurobattery Minerals AB
191817;Kontigo Care AB
191827;Navigo Invest AB
191843;SolTech Energy Sweden AB
191844;Insplorion AB
191892;SpectraCure AB
191916;Capio AB
191949;Link Prop Investment AB
191964;Bonasudden Holding AB
191978;Hybricon AB
191996;Concent Holding AB
192024;Double Bond Pharmaceutical International AB
192089;Swemet AB
192378;Design Your Home Holding AB
192560;Vimab Group AB
192589;Sinch AB
192640;Bravida Holding AB
192673;Klaria Pharma Holding AB
192695;Hamlet BioPharma AB
192744;Nanologica AB
192754;PExA AB
192796;Minesto AB
192831;Waystream Group AB
192889;MoxieTech Group AB
192908;Dometic Group AB
192909;Alzinova AB
192927;Attendo AB
192929;TC TECH Sweden AB
192940;Immunovia AB
192949;Scandic Hotels Group AB
192952;AdCityMedia AB
192965;Camurus AB
192985;Zenergy AB
192992;Stillfront Group AB
193027;Vicore Pharma Holding AB
193041;Nilsson Special Vehicles AB
193077;Vidhance AB
193078;Implementa Sol AB
193079;Toleranzia AB
193085;Nuevolution AS
193088;Prebona AB
193109;Quickcool AB
193122;DalsSpira Mejeri AB
193271;Randviken Fastigheter AB
193274;Holdflight AB
193320;Sleepo AB
193399;Xbrane Biopharma AB
193456;Sjostrand Coffee Int AB
193502;Invent Medic Sweden AB
193542;CHOSA Oncology AB
193552;White Pearl Technologies AB
193566;Polygiene Group AB
193582;GARO AB
193584;AddLife AB
193591;LeoVegas AB
193615;Humana AB
193616;Xintela AB
193645;Infant Bacterial Therapeutics AB
193717;Plejd AB
193783;Real Fastigheter AB
193790;Simris Group AB
193801;Nepa AB
193825;Resurs Holding AB
193839;Lightning Group AB
193931;Front Ventures AB
193951;Bosjo Fastigheter AB
193961;Mediacle Group AB
193963;Clean Motion AB
194012;Cyxone AB
194025;Acuvi AB
194028;Bonava AB
194038;Enorama Pharma AB
194042;B3 Consulting Group AB
194050;SwedenCare AB
194067;GomSpace Group AB
194083;Alelion Energy Systems AB
194086;Dignita Systems AB
194087;BrandBee Holding AB
194100;Cereno Scientific AB
194101;Absolicon Solar Collector AB
194126;Provide IT Sweden AB
194148;MaxFastigheter i Sverige AB
194207;Computer Innovation i Vaxjo AB
194213;SynAct Pharma AB
194241;Gold Town Games AB
194303;Meltron AB
194366;Flowscape Technology AB
194440;Sustainable Energy Solutions Sweden Holding AB
194518;Alcadon Group AB
194533;Jumpgate AB
194547;Eye World AB
194564;WilLak AB
194565;Cyber Security 1 AB
194612;Internationella Engelska Skolan i Sverige Holding II AB
194638;Malarasen AB
194667;Flerie AB
194679;Nosa Plugs AB
194680;Solnaberg Property AB
194773;Gasporox AB
