Sector,variable,n_obs,beta,ci_lower_999,ci_upper_999
Utilities,CPI_lag1,148,0.2874598423504528,-0.07647390537332227,0.6513935900742278
Utilities,CPI_lag2,148,0.21142899886103864,-0.14193214231411913,0.5647901400361964
Utilities,Fuel_Index,148,0.011629942764216642,-0.0008487600807302285,0.024108645609163513
Utilities,Fuel_Index_lag1,148,3.4908485606745006e-05,-0.01890831413227132,0.018978131103484813
Utilities,Fuel_Index_lag2,148,0.0036324873023181417,-0.010660737460241158,0.01792571206487744
Utilities,GDP_Growth,148,-0.053651175742428434,-0.10137920847580206,-0.005923143009054811
Utilities,GDP_Growth_lag1,148,-0.04000332239638784,-0.08013177666581534,0.00012513187303966194
Utilities,GDP_Growth_lag2,148,-0.03857793681002852,-0.07434980774745995,-0.0028060658725970883
Utilities,GPR_Global,148,-0.002215070747247227,-0.0041887735856555,-0.00024136790883895476
Utilities,GPR_Global_lag1,148,-0.0022238739932895807,-0.00443511916635805,-1.2628820221111288e-05
Utilities,GPR_Global_lag2,148,-0.001738999003984977,-0.0040740505817530364,0.0005960525737830824
Utilities,Interest_Rate,148,0.1763107490939277,-0.09278153246841075,0.44540303065626613
Utilities,Interest_Rate_lag1,148,-0.1932444091552341,-0.6411828093669585,0.2546939910564902
Utilities,Interest_Rate_lag2,148,0.10808750869453276,-0.1299078966890142,0.34608291407807973
Wholesale & Retail Trade,Brent_Oil,148,-0.009136840646976818,-0.016114491510170425,-0.00215918978378321
Wholesale & Retail Trade,Brent_Oil_lag1,148,-0.002222781270875615,-0.010802985840560374,0.006357423298809143
Wholesale & Retail Trade,Brent_Oil_lag2,148,0.0009563940102132326,-0.005418706646169386,0.007331494666595851
Wholesale & Retail Trade,CPI,148,0.057698087877792126,-0.2913171903722104,0.40671336612779463
Wholesale & Retail Trade,CPI_lag1,148,-0.07512697633955885,-0.43509399237381247,0.2848400396946948
Wholesale & Retail Trade,CPI_lag2,148,-0.24903070383191994,-0.5985403504828357,0.10047894281899589
Wholesale & Retail Trade,Fuel_Index,148,-0.005703816947732198,-0.018046506943283355,0.006638873047818958
Wholesale & Retail Trade,Fuel_Index_lag1,148,0.006927276628483027,-0.011809472470712101,0.025664025727678154
Wholesale & Retail Trade,Fuel_Index_lag2,148,0.008284855996493994,-0.005852578356503921,0.02242229034949191
Wholesale & Retail Trade,GDP_Growth,148,0.016369838124440508,-0.030837978220356565,0.06357765446923758
Wholesale & Retail Trade,GDP_Growth_lag1,148,-0.010961029636930436,-0.0506520998709459,0.028730040597085026
Wholesale & Retail Trade,GDP_Growth_lag2,148,0.013311066975502188,-0.02207090493517374,0.04869303888617812
Wholesale & Retail Trade,GPR_Global,148,0.001170055300724256,-0.0007821349694108626,0.0031222455708593746
Wholesale & Retail Trade,GPR_Global_lag1,148,0.001808456073005683,-0.0003786874157420193,0.003995599561753386
Wholesale & Retail Trade,GPR_Global_lag2,148,-0.0004095320638286613,-0.002719132517187039,0.0019000683895297162
Wholesale & Retail Trade,Interest_Rate,148,-0.07815185472981735,-0.3443111384941908,0.18800742903455614
Wholesale & Retail Trade,Interest_Rate_lag1,148,0.24448363498656017,-0.19857241656091768,0.687539686534038
Wholesale & Retail Trade,Interest_Rate_lag2,148,-0.1905160416876838,-0.42591739273469265,0.044885309359325054
