Company_number,Date,1_month,3_month,6_month,12_month,24_month,36_month,60_month,Sector
96798575.0,2024-08-01,,,,0.0058,,,,Healthcare & Pharmaceuticals
89724664.0,2024-08-01,,,,0.0058,,,,Financial Services
96223536.0,2024-08-01,,,,0.0012,,,,Industrial & Manufacturing
96223536.0,2024-08-01,,,,0.0012,,,,Industrial & Manufacturing
96223536.0,2024-08-01,,,,0.0012,,,,Industrial & Manufacturing
97768388.0,2024-08-01,,,,0.0058,,,,Real Estate & Property
97768388.0,2024-08-01,,,,0.0058,,,,Real Estate & Property
96805769.0,2024-08-01,,,,0.2387,,,,Professional Services & Consulting
96805769.0,2024-08-01,,,,0.0058,,,,Professional Services & Consulting
96805769.0,2024-08-01,,,,0.0058,,,,Professional Services & Consulting
82985731.0,2024-08-01,,,,1.0,,,,Real Estate & Property
82985731.0,2024-08-01,,,,0.2387,,,,Real Estate & Property
97633712.0,2024-08-01,,,,0.0005,,,,Energy & Resources
96685212.0,2024-08-01,,,,0.0202,,,,Professional Services & Consulting
96685212.0,2024-08-01,,,,0.0202,,,,Professional Services & Consulting
85979874.0,2024-08-01,,,,0.0058,,,,Professional Services & Consulting
85979874.0,2024-08-01,,,,0.0058,,,,Professional Services & Consulting
85979874.0,2024-08-01,,,,0.0202,,,,Professional Services & Consulting
85979874.0,2024-08-01,,,,0.0202,,,,Professional Services & Consulting
85979874.0,2024-08-01,,,,0.0202,,,,Professional Services & Consulting
85979874.0,2024-08-01,,,,0.0058,,,,Professional Services & Consulting
85979874.0,2024-08-01,,,,0.0058,,,,Professional Services & Consulting
85979874.0,2024-08-01,,,,0.0058,,,,Professional Services & Consulting
85979874.0,2024-08-01,,,,0.0202,,,,Professional Services & Consulting
85979874.0,2024-08-01,,,,0.0058,,,,Professional Services & Consulting
85979874.0,2024-08-01,,,,0.0058,,,,Professional Services & Consulting
80369858.0,2024-08-01,,,,0.0012,,,,Telecommunications & Media
97615704.0,2024-08-01,,,,0.0058,,,,Energy & Resources
97619953.0,2024-08-01,,,,0.0058,,,,Industrial & Manufacturing
97408469.0,2024-08-01,,,,0.0012,,,,Professional Services & Consulting
97408469.0,2024-08-01,,,,0.0012,,,,Professional Services & Consulting
97408469.0,2024-08-01,,,,0.0012,,,,Professional Services & Consulting
96540424.0,2024-08-01,,,,0.0005,,,,Energy & Resources
96540424.0,2024-08-01,,,,0.0005,,,,Energy & Resources
96540424.0,2024-08-01,,,,0.0005,,,,Energy & Resources
97453479.0,2024-08-01,,,,0.0005,,,,Utilities
80366254.0,2024-08-01,,,,0.0012,,,,Consumer Goods & Retail
80366254.0,2024-08-01,,,,0.0012,,,,Consumer Goods & Retail
