Company_number,Date,1_month,3_month,6_month,12_month,24_month,36_month,60_month,Sector,1_month_correlation,3_month_correlation,6_month_correlation,12_month_correlation,24_month_correlation,36_month_correlation,60_month_correlation
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software,,,,0.23301174403010982,,,
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software,,,,0.23301174403010982,,,
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software,,,,0.23301174403010982,,,
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software,,,,0.23301174403010982,,,
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software,,,,0.23301174403010982,,,
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software,,,,0.23301174403010982,,,
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software,,,,0.23301174403010982,,,
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software,,,,0.23301174403010982,,,
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software,,,,0.23301174403010982,,,
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software,,,,0.23301174403010982,,,
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software,,,,0.23301174403010982,,,
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software,,,,0.23301174403010982,,,
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software,,,,0.23301174403010982,,,
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software,,,,0.23301174403010982,,,
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software,,,,0.23301174403010982,,,
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software,,,,0.23301174403010982,,,
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software,,,,0.23301174403010982,,,
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software,,,,0.23301174403010982,,,
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software,,,,0.23301174403010982,,,
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software,,,,0.23301174403010982,,,
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software,,,,0.23301174403010982,,,
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software,,,,0.23301174403010982,,,
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software,,,,0.23301174403010982,,,
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software,,,,0.23301174403010982,,,
91986891.0,2024-08-01,,,,0.0012,,,,Technology & Software,,,,0.23301174403010982,,,
80104703.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80104703.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
82254666.0,2024-08-01,,,,0.0005,,,,Energy & Resources,,,,0.2370371894433999,,,
97631246.0,2024-08-01,,,,0.0058,,,,Energy & Resources,,,,0.2097916281094278,,,
97631246.0,2024-08-01,,,,0.0058,,,,Energy & Resources,,,,0.2097916281094278,,,
97615655.0,2024-08-01,,,,0.0058,,,,Energy & Resources,,,,0.2097916281094278,,,
80366126.0,2024-08-01,,,,0.0012,,,,Technology & Software,,,,0.23301174403010982,,,
96183380.0,2024-08-01,,,,0.0012,,,,Technology & Software,,,,0.23301174403010982,,,
97252035.0,2024-08-01,,,,0.0058,,,,Financial Services,,,,0.2097916281094278,,,
96528471.0,2024-08-01,,,,0.2387,,,,Financial Services,,,,0.12000078682219927,,,
96528468.0,2024-08-01,,,,0.2387,,,,Telecommunications & Media,,,,0.12000078682219927,,,
96528468.0,2024-08-01,,,,0.2387,,,,Telecommunications & Media,,,,0.12000078682219927,,,
96775696.0,2024-08-01,,,,0.2387,,,,Financial Services,,,,0.12000078682219927,,,
96775696.0,2024-08-01,,,,0.2387,,,,Financial Services,,,,0.12000078682219927,,,
80096102.0,2024-08-01,,,,0.0012,,,,Consumer Goods & Retail,,,,0.23301174403010982,,,
96375389.0,2024-08-01,,,,0.0058,,,,Financial Services,,,,0.2097916281094278,,,
96375389.0,2024-08-01,,,,0.0058,,,,Financial Services,,,,0.2097916281094278,,,
83969308.0,2024-08-01,,,,0.2387,,,,Energy & Resources,,,,0.12000078682219927,,,
96517109.0,2024-08-01,,,,0.0202,,,,Healthcare & Pharmaceuticals,,,,0.1637062775485828,,,
96768409.0,2024-08-01,,,,0.0058,,,,Energy & Resources,,,,0.2097916281094278,,,
96768409.0,2024-08-01,,,,0.0058,,,,Energy & Resources,,,,0.2097916281094278,,,
96768409.0,2024-08-01,,,,0.0058,,,,Energy & Resources,,,,0.2097916281094278,,,
96768409.0,2024-08-01,,,,0.0058,,,,Energy & Resources,,,,0.2097916281094278,,,
80095924.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80095924.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80095924.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80095924.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80095924.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
97639924.0,2024-08-01,,,,0.0202,,,,Real Estate & Property,,,,0.1637062775485828,,,
96884111.0,2024-08-01,,,,0.0202,,,,Technology & Software,,,,0.1637062775485828,,,
96884111.0,2024-08-01,,,,0.0202,,,,Technology & Software,,,,0.1637062775485828,,,
97424365.0,2024-08-01,,,,0.0058,,,,Energy & Resources,,,,0.2097916281094278,,,
96798575.0,2024-08-01,,,,0.0058,,,,Healthcare & Pharmaceuticals,,,,0.2097916281094278,,,
89724664.0,2024-08-01,,,,0.0058,,,,Financial Services,,,,0.2097916281094278,,,
96223536.0,2024-08-01,,,,0.0012,,,,Industrial & Manufacturing,,,,0.23301174403010982,,,
96223536.0,2024-08-01,,,,0.0012,,,,Industrial & Manufacturing,,,,0.23301174403010982,,,
96223536.0,2024-08-01,,,,0.0012,,,,Industrial & Manufacturing,,,,0.23301174403010982,,,
97768388.0,2024-08-01,,,,0.0058,,,,Real Estate & Property,,,,0.2097916281094278,,,
97768388.0,2024-08-01,,,,0.0058,,,,Real Estate & Property,,,,0.2097916281094278,,,
96805769.0,2024-08-01,,,,0.2387,,,,Professional Services & Consulting,,,,0.12000078682219927,,,
96805769.0,2024-08-01,,,,0.0058,,,,Professional Services & Consulting,,,,0.2097916281094278,,,
96805769.0,2024-08-01,,,,0.0058,,,,Professional Services & Consulting,,,,0.2097916281094278,,,
82985731.0,2024-08-01,,,,1.0,,,,Real Estate & Property,,,,0.12,,,
82985731.0,2024-08-01,,,,0.2387,,,,Real Estate & Property,,,,0.12000078682219927,,,
97633712.0,2024-08-01,,,,0.0005,,,,Energy & Resources,,,,0.2370371894433999,,,
96685212.0,2024-08-01,,,,0.0202,,,,Professional Services & Consulting,,,,0.1637062775485828,,,
96685212.0,2024-08-01,,,,0.0202,,,,Professional Services & Consulting,,,,0.1637062775485828,,,
85979874.0,2024-08-01,,,,0.0058,,,,Professional Services & Consulting,,,,0.2097916281094278,,,
85979874.0,2024-08-01,,,,0.0058,,,,Professional Services & Consulting,,,,0.2097916281094278,,,
85979874.0,2024-08-01,,,,0.0202,,,,Professional Services & Consulting,,,,0.1637062775485828,,,
85979874.0,2024-08-01,,,,0.0202,,,,Professional Services & Consulting,,,,0.1637062775485828,,,
85979874.0,2024-08-01,,,,0.0202,,,,Professional Services & Consulting,,,,0.1637062775485828,,,
85979874.0,2024-08-01,,,,0.0058,,,,Professional Services & Consulting,,,,0.2097916281094278,,,
85979874.0,2024-08-01,,,,0.0058,,,,Professional Services & Consulting,,,,0.2097916281094278,,,
85979874.0,2024-08-01,,,,0.0058,,,,Professional Services & Consulting,,,,0.2097916281094278,,,
85979874.0,2024-08-01,,,,0.0202,,,,Professional Services & Consulting,,,,0.1637062775485828,,,
85979874.0,2024-08-01,,,,0.0058,,,,Professional Services & Consulting,,,,0.2097916281094278,,,
85979874.0,2024-08-01,,,,0.0058,,,,Professional Services & Consulting,,,,0.2097916281094278,,,
80369858.0,2024-08-01,,,,0.0012,,,,Telecommunications & Media,,,,0.23301174403010982,,,
97615704.0,2024-08-01,,,,0.0058,,,,Energy & Resources,,,,0.2097916281094278,,,
